House,Neighborhood,Latitude,Longitude,Price,Size(sqft),price_per_sqft,Bedrooms,Bathrooms,Quality,maid_room,Furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,Source
7510165,Town Square,25.010599,55.281229,580000.0,631,919.18,1,1,Medium,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,Bayut
7370356,Palm Jumeirah,25.132519,55.151574,2000000.0,1040,1923.08,1,2,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7627404,Jumeirah Village Circle,25.057022,55.198917,1350000.0,2184,618.13,2,2,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7580937,Dubai Marina,25.086575,55.147768000000006,1460000.0,868,1682.03,1,2,Medium,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,Property Finder
7659174,Old Town,25.193542,55.277061,2100000.0,1433,1465.46,2,3,Medium,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Dubizzle
7592664,Palm Jumeirah,25.108523,55.143557,1295000.0,737,1757.12,1,2,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,Property Finder
7686897,Business Bay,25.183515,55.26667,710000.0,465,1526.88,1,1,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Dubizzle
7639194,DIFC,25.212018,55.278772,5700000.0,4042,1410.19,4,5,Medium,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,Dubizzle
7568220,Dubai Hills Estate,25.109367,55.247980000000005,900000.0,1000,900.0,1,2,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7565828,Meydan,25.145181,55.288017,700000.0,835,838.32,1,2,Medium,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,Bayut
7587761,Palm Jumeirah,25.110559,55.137575,2200000.0,1709,1287.3,2,3,Medium,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Dubizzle
7591777,Dubai Marina,25.084397,55.142039,1640000.0,1693,968.69,2,3,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,Dubizzle
7656847,Dubai Marina,25.081243,55.14512,2200000.0,2314,950.73,3,4,High,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,Property Finder
7689793,Downtown Dubai,25.195237,55.271449,4362888.0,1192,3660.14,2,3,Low,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7511976,Old Town,25.188743,55.275682,1700000.0,1335,1273.41,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7669812,Dubai Marina,25.086726,55.145205,2200000.0,1787,1231.11,3,3,Medium,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,Bayut
7625138,Jumeirah Village Circle,25.065988,55.212062,400000.0,437,915.33,0,1,Medium,False,False,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,Dubizzle
7525242,Jumeirah Village Circle,25.052714,55.199369,1150000.0,1607,715.62,3,4,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7642583,Mohammed Bin Rashid City,25.171461,55.2758,1288888.0,742,1737.05,1,2,Low,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Dubizzle
7387981,Jumeirah Lake Towers,25.071246,55.140806000000005,525000.0,569,922.67,1,1,Medium,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Dubizzle
7532226,Jumeirah Beach Residence,25.072954,55.128089,2499000.0,1463,1708.13,2,3,Medium,False,False,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,Property Finder
7678129,Downtown Dubai,25.194282,55.271884,2360000.0,1712,1378.5,2,2,Medium,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7557467,Palm Jumeirah,25.10355,55.168509,21870000.0,5188,4215.5,4,5,Medium,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Bayut
7621030,Town Square,25.010196,55.291467,490000.0,680,720.59,1,1,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7620031,Mohammed Bin Rashid City,25.176686,55.309922,1110200.0,700,1586.0,1,2,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7651956,Jumeirah Village Circle,25.046296,55.200783,965789.0,1313,735.56,2,3,Ultra,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,Property Finder
7634287,Town Square,25.010196,55.291467,650000.0,1064,610.9,2,2,Medium,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Dubizzle
7688053,Jumeirah Beach Residence,25.082485,55.139394,3900000.0,2170,1797.24,3,3,Medium,True,False,True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,Bayut
7646483,Mohammed Bin Rashid City,25.176965,55.311826,1439112.0,1129,1274.68,2,3,Medium,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7581146,The Views,25.086886,55.173227,1999999.0,1660,1204.82,3,4,High,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7349963,Palm Jumeirah,25.112725,55.109525,5400000.0,4526,1193.11,4,5,Medium,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Dubizzle
7233845,Downtown Dubai,25.197316,55.274196,2100000.0,826,2542.37,1,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7623001,Dubai Marina,25.087147,55.14668100000001,3378000.0,1516,2228.23,2,3,High,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,Bayut
7651951,Jumeirah Village Circle,25.04866,55.20955,759502.0,956,794.46,2,3,Ultra,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,Dubizzle
7554269,Dubai Marina,25.086575,55.147768000000006,2099999.0,1382,1519.54,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7663734,Palm Jumeirah,25.105959,55.148293,1100000.0,1303,844.21,1,2,High,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True,Bayut
7375714,Downtown Dubai,25.194186,55.269439,2850000.0,1244,2291.0,2,2,Medium,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,Dubizzle
7470403,Dubai Production City (IMPZ),25.027415,55.181316,850000.0,1083,784.86,2,2,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7557468,Palm Jumeirah,25.10355,55.168509,22640000.0,5505,4112.62,4,5,Medium,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Bayut
7655594,Business Bay,25.187683,55.2699,748888.0,427,1753.84,0,1,Medium,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,Dubizzle
7383820,Greens,25.091871,55.174751,620000.0,767,808.34,1,1,Medium,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Dubizzle
7704274,Dubai South (Dubai World Central),24.865992,55.137958,1175000.0,3247,361.87,3,2,High,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,Bayut
7583863,DIFC,25.211032,55.28205,1300000.0,938,1385.93,1,2,Medium,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7636123,Jumeirah Village Circle,25.056225,55.20458000000001,1286000.0,1500,857.33,3,4,High,False,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,True,Property Finder
7585038,Greens,25.09243,55.172975,900000.0,1093,823.42,2,2,Medium,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7563538,Dubai Marina,25.087042,55.148385,1499000.0,1721,871.01,3,3,Medium,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7604668,Jumeirah Village Circle,25.04866,55.20955,1270000.0,1538,825.75,3,4,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,Bayut
7426141,Dubai Marina,25.088606,55.148208,800000.0,1219,656.28,2,3,Medium,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7081836,Business Bay,25.183133,55.25658000000001,1700000.0,1358,1251.84,2,3,Medium,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,Property Finder
7449334,Palm Jumeirah,25.125472,55.153066,2600000.0,1475,1762.71,2,3,Medium,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7670156,Downtown Dubai,25.194761,55.282343,3500000.0,1506,2324.04,2,3,Low,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7671905,The Views,25.091001,55.171427,1250000.0,1722,725.9,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7675939,Downtown Dubai,25.197316,55.274196,2949900.0,1778,1659.11,2,3,Medium,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,Dubizzle
7673702,Jumeirah Village Circle,25.04866,55.20955,399990.0,504,793.63,0,1,Low,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Dubizzle
7671082,Jumeirah Village Circle,25.04866,55.20955,1190500.0,1575,755.87,3,4,Medium,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,Bayut
7651848,Palm Jumeirah,25.109267000000003,55.145799,1650000.0,2000,825.0,3,4,Medium,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7632478,Dubai Hills Estate,25.109367,55.247980000000005,900000.0,989,910.01,1,2,Medium,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Property Finder
6356778,Palm Jumeirah,25.114275,55.139764,1729200.0,507,3410.65,0,1,Medium,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,Bayut
7640918,Dubai Sports City,25.037236,55.20598,615000.0,822,748.18,1,2,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,Bayut
7681072,Mohammed Bin Rashid City,25.177819,55.308533,757809.0,493,1537.14,1,1,High,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,Dubizzle
7606951,Jumeirah Village Circle,25.04866,55.20955,1269999.0,1500,846.67,3,4,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,Bayut
7702581,Dubai Marina,25.081243,55.14512,1350000.0,1579,854.97,2,4,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7614359,Palm Jumeirah,25.104582,55.148449,3500000.0,1800,1944.44,2,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7694650,Downtown Dubai,25.201718,55.270983,4600000.0,2019,2278.36,3,4,Medium,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,Bayut
7467970,Jumeirah Village Triangle,25.047255,55.189927,462888.0,402,1151.46,1,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7666288,Downtown Dubai,25.191107,55.26991,999000.0,880,1135.23,1,1,Low,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7478091,Downtown Dubai,25.201718,55.270983,3850000.0,2024,1902.17,3,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7557592,Mohammed Bin Rashid City,25.171461,55.2758,1246305.0,780,1597.83,1,2,High,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,Dubizzle
7498589,Dubai Creek Harbour (The Lagoons),25.209767000000003,55.345908,2500000.0,1501,1665.56,2,3,Medium,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7672220,Dubai Marina,25.085305,55.149287,1650000.0,1861,886.62,1,1,Medium,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,Bayut
7598507,Jumeirah,25.240419,55.25277,1234000.0,754,1636.6,1,2,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7645764,Downtown Dubai,25.191107,55.26991,1650000.0,1725,956.52,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7706591,Jumeirah Village Circle,25.073858,55.22984399999999,675000.0,740,912.16,1,2,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,Bayut
7659499,Jumeirah Lake Towers,25.079501,55.151503000000005,1350000.0,1650,818.18,2,3,Medium,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7686921,Business Bay,25.18813,55.282766,1288000.0,913,1410.73,2,2,Medium,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7654916,Dubai Marina,25.068933,55.128814,1000000.0,725,1379.31,1,2,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Dubizzle
